"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"30","Disney Pixar Toy Story Buzz Lightyear Intelligent Life T-Shirt","http://www.amazon.com//dp/B07S5M7MG2","Visit the Disney Store","1","159","$22.99","Clothing, Shoes &amp; Jewelry","63,506","19","$437","1,187 ","4.7","-"
"31","Disney Lilo &amp; Stitch Vintage Dad Cool Stitch Collegiate Logo T-Shirt","http://www.amazon.com//dp/B0CVK3XW53","Visit the Disney Store","1","295","$22.99","Clothing, Shoes &amp; Jewelry","66,529","19","$437","73 ","4.7","-"
"32","Star Wars Andor â€œI Have Friends Everywhereâ€œ Quote Rebel Logo T-Shirt","http://www.amazon.com//dp/B0FG3TPZKD","Visit the STAR WARS Store","1","503","$22.99","Clothing, Shoes &amp; Jewelry","250,748","16","$368",,,"-"
"33","Disney Lilo &amp; Stitch Distressed Stitch Portrait T-Shirt","http://www.amazon.com//dp/B08224NCKH","Visit the Disney Store","1","263","$22.99","Clothing, Shoes &amp; Jewelry","101,964","17","$391","490 ","4.7","-"
"34","Hot Wheels Monster Trucks - Crush It T-Shirt","http://www.amazon.com//dp/B0D5NY75NG","Visit the Hot Wheels Store","1","267","$22.99","Clothing, Shoes &amp; Jewelry","95,735","17","$391","35 ","4.6","-"
"35","STAR WARS Men's Endor Summer Camp T-Shirt","http://www.amazon.com//dp/B08DDD1LJR","Visit the STAR WARS Store","1","1","$17.85","Clothing, Shoes &amp; Jewelry","169,085","16","$286","146 ","4.4","-"
"36","Star Wars A New Hope Faded Vintage Retro Poster Disney+ T-Shirt","http://www.amazon.com//dp/B07KRXYTLY","Visit the STAR WARS Store","1","304","$22.99","Clothing, Shoes &amp; Jewelry","52,513","20","$460","703 ","4.7","-"
"37","Disney The Three Caballeros Classic T-Shirt","http://www.amazon.com//dp/B09S1BSXPM","Visit the Disney Store","1","288","$22.99","Clothing, Shoes &amp; Jewelry","43,936","21","$483","175 ","4.7","-"
"38","Disney Robin Hood Retro Vintage Distressed T-Shirt","http://www.amazon.com//dp/B0BT3G957Q","Visit the Disney Store","1","297","$22.99","Clothing, Shoes &amp; Jewelry","65,987","19","$437","116 ","4.8","-"
"39","Disney Silly Symphonies The Skeleton Dance Vintage Logo T-Shirt","http://www.amazon.com//dp/B0D8JWPG5T","Visit the Disney Store","1","215","$22.99","Clothing, Shoes &amp; Jewelry","62,729","19","$437","98 ","4.7","-"
"40","Disney Mickey And Friends Daisy &amp; Minnie Fashion Short Sleeve T-Shirt","http://www.amazon.com//dp/B08P67C911","Visit the Disney Store","1","311","$22.99","Clothing, Shoes &amp; Jewelry","71,361","18","$414","2,132 ","4.5","-"
"41","Disney The Incredibles Logo Costume T-shirt","http://www.amazon.com//dp/B007R1OJ9I","Visit the Disney Store","1","1","$10.54","Clothing, Shoes &amp; Jewelry","35,297","24","$253","3,732 ","4.5","-"
"42","Star Wars 20th Anniversary Episode III Epic Chest Poster T-Shirt","http://www.amazon.com//dp/B0F3KNLKD7","Visit the STAR WARS Store","1","101","$22.99","Clothing, Shoes &amp; Jewelry","51,745","20","$460","114 ","4.7","-"
"43","Disney Mickey And Friends Sunshine And Good Vibes Big Logo T-Shirt","http://www.amazon.com//dp/B0CYK49ZBF","Visit the Disney Store","1","168","$22.99","Clothing, Shoes &amp; Jewelry","81,998","18","$414","24 ","4.4","-"
"44","Star Wars Classic Rebel Alliance &amp; Galactic Empire Split T-Shirt","http://www.amazon.com//dp/B0C6SGM9XF","Visit the STAR WARS Store","1","172","$22.99","Clothing, Shoes &amp; Jewelry","106,137","17","$391","53 ","4.5","-"
"45","Disney Lilo &amp; Stitch 4th Of July Born To Sparkle Americana T-Shirt","http://www.amazon.com//dp/B0C2JL7DTF","Visit the Disney Store","1","311","$22.99","Clothing, Shoes &amp; Jewelry","118,131","17","$391","41 ","4.4","-"
"46","Star Wars Visions Samurai Vader Reach T-Shirt","http://www.amazon.com//dp/B09F4R8CKW","Visit the STAR WARS Store","1","202","$22.99","Clothing, Shoes &amp; Jewelry","50,299","20","$460","721 ","4.8","-"
